1,0.3969,4,0.7362,7,0.3339,10,0.302,13,0.7894,16,0.2091,19,0.494,22,0.4423,25,0.0252,28,0.9092,31,0.781,34,0.2567,37,0.736,40,0.1358,43,0.4926,46,0.7298,49,0.0954,52
1,0.0387,4,0.2238,7,0.9113,10,0.1405,13,0.2451,16,0.666,19,0.8815,22,0.8557,25,0.7583,28,0.7793,31,0.9153,34,0.6523,37,0.5541,40,0.7814,44,0.1888,46,0.4801,49,0.6344,52
1,0.4155,4,0.4947,7,0.1633,10,0.3368,13,0.9764,16,0.5284,19,0.3184,23,0.3658,25,0.6167,28,0.7782,31,0.5554,34,0.2387,37,0.2449,40,0.7201,44,0.0298,46,0.058,49,0.9674,52
1,0.5281,4,0.5061,7,0.9904,10,0.1444,13,0.1764,16,0.7654,19,0.8915,22,0.5232,25,0.9879,28,0.7498,31,0.7516,34,0.5396,37,0.1981,40,0.1399,44,0.1732,46,0.7929,49,0.1806,52
1,0.1698,5,0.877,7,0.8284,10,0.5681,13,0.5974,16,0.9559,19,0.4117,22,0.4622,25,0.0609,28,0.4897,31,0.895,34,0.2066,37,0.1976,40,0.0906,44,0.7773,46,0.77,49,0.1021,52
1,0.616,4,0.6905,7,0.8346,10,0.0013,13,0.1787,16,0.7557,19,0.725,22,0.9525,25,0.6284,28,0.7167,31,0.2152,34,0.9292,37,0.2958,40,0.8671,44,0.5537,46,0.449,49,0.9427,52
2,0.3535,4,0.3483,7,0.1814,10,0.2215,13,0.3657,16,0.9806,19,0.5505,24,0.9947,25,0.9123,28,0.2983,31,0.3692,34,0.7542,37,0.0169,41,0.6357,44,0.7589,46,0.4995,49,0.5842,52
1,0.815,4,0.3076,7,0.5213,10,0.6212,13,0.7201,16,0.3726,19,0.7332,24,0.1189,25,0.6188,28,0.7769,31,0.5678,34,0.7558,37,0.6597,42,0.505,44,0.3064,46,0.2413,49,0.9943,52
1,0.3694,4,0.0223,7,0.1046,10,0.908,13,0.3486,16,0.322,19,0.9164,24,0.104,26,0.9816,28,0.4879,31,0.5622,34,0.8994,37,0.6553,42,0.2152,44,0.4883,46,0.65,49,0.7155,52
1,0.6781,4,0.2925,7,0.4773,10,0.97,13,0.431,16,0.6335,19,0.2099,24,0.7005,25,0.2824,28,0.5657,31,0.7194,34,0.9699,37,0.386,42,0.4477,44,0.5211,46,0.0435,49,0.4434,52
1,0.1508,5,0.9304,7,0.5488,10,0.1197,13,0.0871,16,0.088,19,0.9406,24,0.3746,25,0.7814,28,0.6472,31,0.2512,34,0.5715,37,0.748,42,0.8514,44,0.053,46,0.5905,49,0.3834,52
1,0.4741,4,0.2736,7,0.8283,10,0.7852,13,0.7328,16,0.046,19,0.253,24,0.9166,25,0.7848,28,0.333,31,0.8045,34,0.2792,37,0.4378,42,0.5701,44,0.4052,46,0.203,49,0.7297,52
1,0.628,6,0.1902,7,0.7415,10,0.7742,13,0.2873,16,0.0684,19,0.9655,22,0.664,25,0.769,28,0.6985,31,0.9094,34,0.1522,37,0.8241,41,0.6438,44,0.6548,46,0.8271,49,0.2353,52
1,0.237,6,0.4215,7,0.9068,10,0.4672,13,0.213,16,0.8571,19,0.2386,22,0.8458,25,0.2225,28,0.1015,31,0.362,34,0.3014,37,0.6786,42,0.3067,44,0.4581,46,0.1011,49,0.7468,52
3,0.2394,6,0.6933,7,0.267,10,0.8983,13,0.8676,16,0.8755,19,0.6768,23,0.3476,25,0.4557,28,0.0062,31,0.0906,34,0.7782,37,0.6911,42,0.069,44,0.615,46,0.4588,49,0.0728,52
1,0.8784,6,0.0387,7,0.9652,10,0.8144,13,0.1369,16,0.5969,19,0.4094,22,0.3584,25,0.5906,28,0.3409,31,0.8302,34,0.1618,37,0.6723,42,0.5238,44,0.5538,46,0.6525,49,0.6448,52
1,0.1339,6,0.2638,8,0.6891,10,0.6795,13,0.606,16,0.3549,19,0.8936,22,0.8184,25,0.2266,28,0.1335,31,0.2773,34,0.5241,37,0.5448,42,0.49,44,0.623,46,0.1448,49,0.4922,52
1,0.2358,6,0.49,7,0.5529,10,0.3204,13,0.9618,16,0.6159,19,0.5555,22,0.5194,25,0.0181,28,0.7954,31,0.2077,34,0.8913,37,0.5695,42,0.9194,44,0.9066,46,0.6191,49,0.792,52
3,0.2984,4,0.4568,7,0.0083,10,0.4535,13,0.7644,16,0.2883,19,0.0554,22,0.9365,25,0.7892,28,0.4633,31,0.6528,34,0.6178,37,0.1432,41,0.8364,43,0.2814,46,0.0887,49,0.1617,52
1,0.3202,4,0.7173,7,0.5515,10,0.3122,13,0.9586,16,0.8925,19,0.227,22,0.4826,25,0.8957,28,0.0884,31,0.8422,34,0.145,37,0.0654,41,0.3056,44,0.2482,46,0.4314,49,0.6908,52
1,0.1663,4,0.5717,7,0.9229,10,0.848,13,0.9082,16,0.8068,19,0.0935,23,0.7635,25,0.4334,28,0.635,31,0.7724,34,0.1514,37,0.5562,41,0.7755,44,0.7414,46,0.3786,49,0.7114,52
1,0.1659,4,0.4931,7,0.9641,10,0.5368,13,0.2111,16,0.3641,19,0.7123,22,0.1408,25,0.7618,28,0.5706,31,0.674,34,0.7291,37,0.022,41,0.9412,44,0.2232,46,0.0405,49,0.6784,52
1,0.4656,5,0.0881,7,0.2797,10,0.9938,13,0.2924,16,0.2162,19,0.8246,22,0.2709,25,0.1492,28,0.6842,31,0.3952,34,0.749,37,0.6596,41,0.2635,44,0.0935,46,0.805,49,0.8909,52
2,0.5755,4,0.291,7,0.5596,10,0.6994,13,0.8599,16,0.0772,19,0.8183,22,0.8062,25,0.9706,28,0.9343,31,0.3556,34,0.6007,37,0.083,41,0.6622,44,0.2491,46,0.5356,49,0.0136,52
1,0.4271,4,0.7676,7,0.3123,10,0.7553,13,0.7276,16,0.8523,19,0.7157,22,0.353,25,0.2448,28,0.828,31,0.2047,34,0.1187,37,0.251,41,0.1555,45,0.5618,46,0.5972,49,0.3635,52
1,0.7293,4,0.9724,7,0.8124,10,0.0018,13,0.5909,16,0.0927,19,0.1056,22,0.7652,25,0.2245,28,0.5563,31,0.9088,34,0.7727,37,0.2674,41,0.9296,45,0.0044,47,0.9211,49,0.4911,52
1,0.4808,4,0.2375,7,0.2694,10,0.4445,13,0.5762,16,0.573,19,0.7283,22,0.4736,25,0.3995,28,0.4444,31,0.6433,34,0.0564,37,0.6886,41,0.2129,45,0.5746,46,0.1761,49,0.9231,52
1,0.7283,4,0.2496,7,0.5033,10,0.9556,13,0.4078,16,0.1506,19,0.3952,23,0.4947,25,0.5663,28,0.7123,31,0.4032,34,0.8812,37,0.1849,41,0.6263,45,0.2597,46,0.2114,49,0.7015,52
1,0.2656,4,0.5217,7,0.637,10,0.3606,13,0.7285,16,0.9053,19,0.4692,22,0.9221,25,0.5723,28,0.5097,31,0.4772,34,0.0104,37,0.4214,41,0.0808,45,0.8793,46,0.3763,49,0.0734,52
1,0.6704,5,0.1015,7,0.5205,10,0.9808,13,0.394,16,0.3724,19,0.1808,22,0.7792,25,0.5699,28,0.3175,31,0.9196,34,0.2783,37,0.8175,41,0.3693,45,0.9523,46,0.1119,49,0.0897,52
1,0.1565,4,0.5688,7,0.0288,10,0.9756,13,0.0119,16,0.1925,19,0.6978,22,0.3097,25,0.7863,28,0.3124,31,0.8047,34,0.137,37,0.8725,41,0.0901,45,0.8765,46,0.5855,49,0.1658,52
3,0.3184,4,0.4985,7,0.8006,10,0.5607,13,0.8109,16,0.6405,19,0.7645,22,0.4975,25,0.9068,28,0.5024,31,0.0716,34,0.596,37,0.191,41,0.5032,43,0.0317,46,0.8638,49,0.5701,52
2,0.2213,4,0.9712,7,0.8431,10,0.5964,13,0.3322,16,0.7004,19,0.1565,22,0.8344,25,0.6394,28,0.7878,31,0.388,34,0.5091,37,0.1549,41,0.8753,44,0.5159,46,0.628,49,0.4837,52
1,0.299,4,0.7025,7,0.7748,10,0.8678,13,0.444,16,0.3998,19,0.2949,23,0.5004,25,0.1455,28,0.3591,31,0.4405,34,0.9243,37,0.9684,41,0.6484,44,0.2728,46,0.7887,49,0.3269,52
3,0.6442,4,0.1605,7,0.9685,10,0.4799,13,0.8407,16,0.8875,19,0.3831,22,0.193,25,0.5478,28,0.1087,31,0.1895,34,0.6567,37,0.2679,41,0.6078,44,0.922,46,0.2228,49,0.9733,52
1,0.4974,5,0.2254,7,0.9706,10,0.8732,13,0.0993,16,0.9698,19,0.3644,22,0.4409,25,0.5492,28,0.7154,31,0.0653,34,0.3825,37,0.9625,41,0.7831,44,0.8606,46,0.3531,49,0.9959,52
1,0.9462,4,0.2518,7,0.4412,10,0.4938,13,0.4775,16,0.2803,19,0.4514,22,0.5903,25,0.0515,28,0.7323,31,0.7337,34,0.8449,37,0.26,41,0.0756,44,0.5493,46,0.3071,49,0.3844,52
3,0.5489,4,0.9504,7,0.7108,10,0.7033,13,0.5487,16,0.8932,19,0.8035,24,0.1651,25,0.2016,28,0.9858,31,0.481,34,0.0055,37,0.3654,41,0.3341,43,0.0318,46,0.9569,49,0.172,52
1,0.4014,4,0.4847,7,0.5491,10,0.7921,13,0.9088,16,0.7358,19,0.25,24,0.9347,25,0.5884,28,0.2974,31,0.3354,34,0.6987,37,0.2032,41,0.3827,44,0.0685,46,0.5635,49,0.0262,52
3,0.6979,4,0.7771,7,0.945,10,0.2076,13,0.6164,16,0.46,19,0.9671,24,0.1619,26,0.8395,28,0.1936,31,0.9901,34,0.8616,37,0.0371,41,0.2268,44,0.8353,46,0.1325,49,0.6695,52
2,0.4631,4,0.8651,7,0.7292,10,0.6538,13,0.1909,16,0.2277,19,0.4666,24,0.7376,25,0.2506,28,0.1488,31,0.5111,34,0.7555,37,0.5483,41,0.8514,44,0.3829,46,0.2257,49,0.876,52
1,0.4458,5,0.723,7,0.334,10,0.2438,13,0.4127,16,0.278,19,0.4005,24,0.1255,25,0.8469,28,0.6503,31,0.7352,34,0.9554,37,0.5062,41,0.0315,44,0.1714,46,0.946,49,0.9376,52
2,0.0307,4,0.9097,7,0.1469,10,0.2215,13,0.1902,16,0.1189,19,0.548,24,0.6677,25,0.1152,28,0.8791,31,0.4549,34,0.6372,37,0.0403,41,0.532,44,0.8105,46,0.3489,49,0.13,52
1,0.938,4,0.3519,7,0.9995,10,0.4603,13,0.8035,16,0.372,19,0.931,22,0.7054,25,0.8728,28,0.8919,31,0.5688,34,0.4366,37,0.1841,41,0.7506,43,0.8953,46,0.0173,49,0.2086,52
1,0.3598,4,0.5793,7,0.6277,10,0.267,13,0.2049,16,0.0218,19,0.7603,23,0.9827,25,0.4744,28,0.0479,31,0.5452,34,0.9688,37,0.9078,41,0.5363,44,0.0579,46,0.4319,49,0.4838,52
1,0.5287,4,0.3899,7,0.9229,10,0.7557,13,0.8441,16,0.7074,19,0.5355,22,0.2056,25,0.536,28,0.691,31,0.7687,34,0.1738,37,0.2839,41,0.4779,44,0.9271,46,0.1406,49,0.8987,52
1,0.8274,5,0.6243,7,0.063,10,0.1451,13,0.3168,16,0.897,19,0.0558,22,0.3939,25,0.5385,28,0.461,31,0.4645,34,0.8794,37,0.6951,41,0.9679,44,0.1135,46,0.9788,49,0.7487,52
1,0.5697,4,0.0733,7,0.0988,10,0.437,13,0.6449,16,0.8478,19,0.6679,22,0.4462,25,0.6497,28,0.9582,31,0.4536,34,0.1549,37,0.8839,41,0.8419,44,0.8084,46,0.4543,49,0.0118,52
3,0.543,6,0.7974,7,0.3389,10,0.5988,13,0.0288,16,0.8858,19,0.6809,22,0.6887,25,0.7508,28,0.7133,31,0.8418,34,0.9451,37,0.2656,41,0.7943,43,0.9711,46,0.7091,49,0.6453,52
1,0.6866,6,0.5189,7,0.0317,10,0.7695,13,0.4422,16,0.7772,19,0.2273,22,0.649,25,0.4804,28,0.9297,31,0.2109,34,0.2357,37,0.3427,41,0.4158,44,0.0517,46,0.4407,49,0.1196,52
1,0.2013,6,0.7096,7,0.7168,10,0.3227,13,0.6491,16,0.8978,19,0.8521,23,0.8301,25,0.6377,28,0.1095,31,0.9969,34,0.4653,37,0.1459,41,0.9552,44,0.27,46,0.1105,49,0.4531,52
2,0.8768,6,0.5269,7,0.2933,10,0.0434,13,0.986,16,0.2434,19,0.4781,22,0.8726,25,0.9414,28,0.0843,31,0.4999,34,0.5339,37,0.7393,41,0.0633,44,0.6521,46,0.0308,49,0.7419,52
1,0.1224,6,0.6602,8,0.6696,10,0.4079,13,0.1957,16,0.6384,19,0.7548,22,0.31,25,0.1313,28,0.8459,31,0.3067,34,0.5638,37,0.9513,41,0.8049,44,0.8144,46,0.9131,49,0.3231,52
1,0.3283,6,0.8266,7,0.6551,10,0.7607,13,0.9555,16,0.8776,19,0.8676,22,0.9212,25,0.7188,28,0.4929,31,0.9926,34,0.9811,37,0.1266,41,0.539,44,0.9879,46,0.9674,49,0.3753,52
1,0.9309,4,0.3597,7,0.9465,10,0.4505,13,0.6947,16,0.6129,19,0.9621,22,0.6289,25,0.6564,28,0.764,31,0.9465,34,0.2022,37,0.5388,41,0.5229,43,0.3263,46,0.6048,49,0.4481,52
1,0.7089,4,0.9448,7,0.556,10,0.5451,13,0.8083,16,0.4207,19,0.1594,23,0.3382,25,0.8276,28,0.4522,31,0.9752,34,0.4032,37,0.0303,41,0.1049,44,0.4082,46,0.1777,49,0.7366,52
3,0.1168,4,0.1301,7,0.5461,10,0.3851,13,0.1292,16,0.8229,19,0.5592,22,0.0287,25,0.971,28,0.6145,31,0.5876,34,0.1051,37,0.6133,41,0.1144,44,0.0618,46,0.3628,49,0.4201,52
1,0.8187,5,0.8485,7,0.8584,10,0.6429,13,0.714,16,0.12,19,0.4575,22,0.3645,25,0.5473,28,0.8045,31,0.9733,34,0.0823,37,0.9472,41,0.663,44,0.4697,46,0.8564,49,0.8955,52
1,0.5842,4,0.547,7,0.859,10,0.9848,13,0.4994,16,0.8319,19,0.8639,22,0.0039,25,0.9921,28,0.876,31,0.4628,34,0.7343,37,0.0691,41,0.939,44,0.444,46,0.1271,49,0.359,52
3,0.0999,4,0.5651,7,0.4233,10,0.6148,13,0.9681,16,0.4221,19,0.4602,23,0.0024,26,0.9871,28,0.0533,31,0.3626,34,0.192,37,0.3315,42,0.6627,44,0.7486,46,0.4154,49,0.559,52
3,0.5669,4,0.8178,7,0.3856,10,0.8341,13,0.252,16,0.5903,19,0.0503,23,0.7199,25,0.3908,28,0.4463,31,0.6491,34,0.8194,37,0.7738,42,0.3523,44,0.4744,46,0.8105,49,0.7019,52
1,0.0964,5,0.3101,7,0.3775,10,0.7382,13,0.7914,16,0.5885,19,0.2804,23,0.5409,25,0.9591,28,0.25,31,0.2898,34,0.2397,37,0.0897,42,0.4676,44,0.3715,46,0.1741,49,0.5435,52
